ID;Année;Mois ;Date ;Pays;CATPROD;Produit;CATFRAU;OBJETFRAU;LINKSOURCE;;;;;;;;;;;;;;;;;;
GFF87009;2025;janv;11/01/2025;Italy;Fish and fish products;Anchovies;Document forgery, Misdescription/ Mislabelling/ Misbranding;The Italian Coast Guard has carried out an operation to protect Italian fish products and marine resources. The operation resulted in the seizure of 20 tonnes of anchovies in Sciacca, as well as denunciations and seizures in other locations. The Coast Guard also intercepted a Tunisian fishing vessel in Italian waters and seized 100 kg of fish products and 2 000 meters of fishing nets;https://www.agrigentonotizie.it/cronaca/sequestri-tonnellate-pesce-denunce-guardia-costiera.html;;;;;;;;;;;;;;;;;;
GFF87010;2025;janv;12/01/2025;Peru;Alcoholic beverages;liquor;Adulteration/ Product tampering, Grey market;The Peruvian National Police have raided a house in the Ceres urbanization, Ate district, Lima, which was being used as a factory to produce counterfeit liquor. The volume or weight involved is approximately 3 000 bottles of adulterated liquor.;https://rpp.pe/lima/actualidad/ate-incautan-miles-de-botellas-con-licor-adulterado-en-casa-que-funcionaba-como-laboratorio-clandestino-noticia-1609140?ref=rpp;;;;;;;;;;;;;;;;;;
GFF87011;2025;janv;13/01/2025;Côte d'Ivoire;Cocoa and cocoa preparations, coffee and tea;coffee;Grey market;"The Ivorian authorities have seized 2.5 tonnes of coffee during an operation as part of the ""Épervier 10"" initiative, dealing a significant blow to a network of coffee traffickers.";https://abidjantv.net/actualites/cote-divoire-un-camion-rempli-de-cafe-de-contrebande-intercepte-a-vavoua/;;;;;;;;;;;;;;;;;;
GFF87012;2025;janv;14/01/2025;Italy;Fish and fish products;fish;Misdescription, Mislabelling, Misbranding;The Italian Financial Police have seized 8.5 tonnes of fish, worth over EUR 100 000, due to lack of traceability and poor preservation. The affected territory is Italy, specifically the province of Palermo;https://www.grandangoloagrigento.it/palermo/prodotti-mal-conservati-e-senza-tracciabilita-sequestrate-85-tonnellate-di-pesce;;;;;;;;;;;;;;;;;;
GFF87013;2025;janv;15/01/2025;Italy;Other food products/ mixed;Various food products;Document forgery, Misdescription,Mislabelling,Misbranding;The local police of Reggio Calabria have seized approximately 150 kg of food products and imposed fines totaling EUR 17 000 on four unauthorized vendors operating in the area of Piazza del Popolo.;https://www.reggiotoday.it/cronaca/calabria-piazza-del-popolo-blitz-commercio-abusivo-sequestro-merce.html;;;;;;;;;;;;;;;;;;
GFF87014;2025;janv;16/01/2025;Spain;Fruits and vegetables;Avocados;Grey market;The Guardia Civil's Seprona unit in Tenerife has seized 350 kg of Hass avocados due to the lack of traceability labels and uncertain sanitary conditions.;https://www.eldia.es/sucesos/sucesos-en-canarias/2025/01/11/hallan-350-kilos-aguacates-robados-113290124.html;;;;;;;;;;;;;;;;;;
GFF87015;2025;janv;17/01/2025;Brazil;Nuts, nut products and seeds;Hybrid maize seeds;Counterfeit;The civil police of Maranhão, Brazil, have seized a shipment of 178 bundles of counterfeit hybrid maize seeds, weighing approximately 170 bundles, in the city of Caxias;https://imirante.com/noticias/caxias/2025/01/13/caminhao-com-178-fardos-de-sementes-falsificadas-e-apreendido-em-caxias;;;;;;;;;;;;;;;;;;
GFF87016;2025;janv;18/01/2025;Spain;Fish and fish products;Bluefin tuna;Grey market;The Guardia Civil's Seprona unit has dismantled a bluefin tuna-poaching scheme in Marbella, Spain, involving three National Police officers and five other individuals, resulting in the seizure of approximately 16 bluefin tuna, weighing between 70 kg and over 200 kg each.;https://www.surinenglish.com/malaga/marbella-san-pedro/three-police-officers-investigated-for-poaching-and-20250113112044-nt.html;;;;;;;;;;;;;;;;;;
GFF87017;2025;janv;19/01/2025;South Africa;Other food products/ mixed;Various food products;Grey market;The South African Police Service (SAPS) has intercepted a major smuggling operation near the Limpopo River, including alcoholic beverages, energy drinks, baked goods, and other consumer goods.;https://www.thesouthafrican.com/news/smuggling-operation-disrupted-in-limpopo-as-suspects-flee-to-zim/;;;;;;;;;;;;;;;;;;
GFF87018;2025;janv;20/01/2025;Turkey;Alcoholic beverages;Alcohol;Grey market;The Turkish authorities have detained 46 suspects and seized over 50 000 litres of counterfeit and ethyl alcohol, as well as 4 000 counterfeit tax stamps, in a nationwide operation targeting counterfeit alcohol producers;https://famagusta-gazette.com/sharp-increase-in-counterfeit-alcohol-poisonings-in-turkiye/;;;;;;;;;;;;;;;;;;
GFF87019;2025;janv;21/01/2025;India;Herbs and spices;tea leaves;Adulteration/ Product tampering;A raid by the Uttar Pradesh Special Task Force (STF) in Madiyaon uncovered a large-scale food fraud operation, resulting in the seizure of over 11 000 kg of adulterated tea leaves mixed with harmful chemicals.;https://www.hindustantimes.com/cities/lucknow-news/11-quintals-of-adulterated-tea-seized-in-lko-one-held-101736871645610.html;;;;;;;;;;;;;;;;;;
GFF87020;2025;janv;22/01/2025;Paraguay;Poultry meat and poultry meat products;chicken;Grey market;Paraguayan authorities have seized 15 tonnes of smuggled chicken from Brazil due to lack of proper documentation and sanitary registration. The seizure occurred at a control post in the Caaguazú department, and the driver and accompanying individual have been detained.;https://www.swissinfo.ch/spa/incautan-en-paraguay-15-toneladas-de-pollo-de-contrabando-procedente-de-brasil/88723322;;;;;;;;;;;;;;;;;;
GFF87021;2025;janv;23/01/2025;Turkey;Cocoa and cocoa preparations, coffee and tea;cocoa;Grey market;A series of tragic incidents have occurred in Istanbul, Turkey, where at least 11 people have died after consuming adulterated alcohol. The tainted liquor is believed to have contained methanol, a toxic substance that can cause serious health problems, including death. The death toll has risen to 19, according to some reports.;https://www.noticiasaominuto.com/mundo/2707489/onze-pessoas-morreram-apos-consumo-de-alcool-adulterado-em-istambul;;;;;;;;;;;;;;;;;;
GFF87022;2025;janv;24/01/2025;Italy;Fish and fish products;fish;Document forgery;"Swedish authorities have blocked the sale of a ""fai da te"" (homemade) grappa that improperly carried a geographical indication of an Italian region. The control operation has revealed that the product did not meet quality and authenticity standards for grappa.";https://winenews.it/it/svezia-bloccata-la-vendita-di-grappa-fai-da-te-riportava-impropriamente-lindicazione-geografica_546945/;;;;;;;;;;;;;;;;;;
GFF87023;2025;janv;25/01/2025;Malaysia;Fats and oils;olive oil;Counterfeit, Misdescription,Mislabelling, Misbranding;The Malaysian customs authority has seized a significant quantity of alcoholic beverages at Port Klang. The seizure consisted of 52 790 cans of beer, equivalent to 26 395 litres, which had been imported from an East Asian country and classified as prohibited goods.;https://www.thestar.com.my/news/nation/2025/01/15/nearly-rm7mil-worth-of-contraband-seized-in-two-raids-at-port-klang;;;;;;;;;;;;;;;;;;
GFF87024;2025;janv;26/01/2025;Ghana;Cocoa and cocoa preparations, coffee and tea;cocoa;Grey market;The Ghanaian Police have arrested three suspects in connection with the alleged smuggling of cocoa beans to neighbouring countries, specifically Togo or Burkina Faso. The suspects included a driver and two driver's mates of three heavy-duty trucks that were carrying 1 473 maxi bags of cocoa beans covered with lumber.;https://www.myjoyonline.com/police-arrest-3-in-connection-with-alleged-cocoa-bean-smuggling/;;;;;;;;;;;;;;;;;;
GFF87025;2025;janv;27/01/2025;Paraguay;Fruits and vegetables;Tomatoes;Document forgery, Grey market;The Paraguayan authorities have seized 15 000 kg of smuggled chicken in the Caaguazú region. The chicken was not refrigerated and lacked proper documentation, posing a significant risk to consumers;https://www.caritas.com.py/cayeron-15-mil-kilos-de-pollo-no-refrigerados-en-caaguazu/;;;;;;;;;;;;;;;;;;
GFF87026;2025;janv;28/01/2025;Paraguay;Cocoa and cocoa preparations, coffee and tea;Cocoa;Grey market;A joint operation between the National Directorate of Tax Revenue (DNIT), the National Service for Plant and Seed Quality and Health (Senave), and the National Police, has resulted in the seizure of approximately 20 240 kg of tomatoes that were smuggled into the country.;https://www.lanacion.com.py/pais/2025/01/17/incautan-20000-kilos-de-tomates-de-contrabando-en-fernando-de-la-mora/;;;;;;;;;;;;;;;;;;
GFF87027;2025;janv;29/01/2025;Côte d'Ivoire;Cocoa and cocoa preparations, coffee and tea;Cocoa;Grey market;Ivorian authorities have seized over 25 tonnes of cocoa that were being transported illegally. The control operation has revealed that the cocoa did not meet quality and food safety standards.;https://abidjantv.net/societe/cote-divoire-saisie-de-plus-de-25-tonnes-de-cacao-transportees-illegalement/;;;;;;;;;;;;;;;;;;
GFF87028;2025;janv;30/01/2025;France;Honey and royal jelly;honey;Adulteration,Product tampering;"French authorities have seized a large quantity of adulterated honey, known as ""erectile honey"", which contained sildenafil and tadalafil, substances used to treat erectile dysfunction. The honey, believed to have been imported from outside the European Union, was discovered in an attempt to introduce it into the French market. Authorities have issued a warning to consumers and alerted them to the health risks associated with consuming this product.";https://www.douane.gouv.fr/actualites/alerte-aux-consommateurs-saisies-de-miel-adultere-dit-miel-erectile-un-produit-interdit;;;;;;;;;;;;;;;;;;
GFF87029;2025;janv;31/01/2025;Philippines;Fruits and vegetables;Carrots, white onions;Grey market;The Philippine Department of Agriculture has filed a complaint against an importer, Betron Consumer Goods Trading, for allegedly smuggling P20.8 million worth of carrots and white onions into the country through the Port of Subic. The smuggled goods were found to contain traces of E. coli and unregistered pesticide residues, posing a risk to public health.;https://www.philstar.com/headlines/2025/01/20/2415457/da-files-raps-over-p208-million-smuggled-vegetables;;;;;;;;;;;;;;;;;;
GFF87030;2025;janv;01/01/2025;Argentina;Fish and fish products;fish;Document forgery;Argentine authorities have seized 3000 sabalos, a type of fish, in an environmental control operation in the city of Rosario. The seizure took place at the Girsu complex, in the Arroyo Seco neighbourhood, and it is suspected that the fish were illegal and did not meet the standards of quality and food safety;https://www.ellitoral.com/sucesos/decomiso-3000-sabalos-operativo-medioambiente-arroyo-seco-rosario-vgg-complejo-girsu_0_QoJPAaX6O7.html;;;;;;;;;;;;;;;;;;
GFF87031;2025;janv;02/01/2025;Italy;Fats and oils;olive oil;Counterfeit, Misdescription,Mislabelling, Misbranding;"Italian authorities have seized a significant quantity of adulterated olive oil in the Lecce region, southern Italy. The oil, which was sold as ""extra virgin"", was actually a blend of refined oils and did not meet the quality standards to be considered ""extra virgin"". The seized quantity amounts to 2 200 litres";https://www.lecceprima.it/cronaca/olio-miscelato-raffinato-venduto-extravergine-ingente-sequestro.html;;;;;;;;;;;;;;;;;;
GFF87032;2025;janv;03/01/2025;Italy;Wine;wine;Document forgery,  Misdescription,Mislabelling, Misbranding;Italian authorities have seized a significant quantity of adulterated wine from a winery in the Caserta region. The wine, which was sold with an PGI label, was produced in unsanitary conditions and sold at a high price. The winery has been seized and investigations have been launched to determine the extent of the fraud.;https://edizionecaserta.net/2025/01/22/scandalo-vino-contraffatto-nel-casertano-sequestro-record-in-una-nota-cantina/;;;;;;;;;;;;;;;;;;
GFF87033;2025;janv;04/01/2025;Côte d'Ivoire;Cocoa and cocoa preparations, coffee and tea;Cocoa;Grey market;Ivorian authorities have seized over 29 tonnes of cocoa that were being transported illegally. The control operation has revealed that the cocoa did not meet quality and food safety standards.;http://www.ivoirematin.com/dev/Economie/cote-d-rsquo-ivoire-plus-de-29-tonnes-de_n_112069.html;;;;;;;;;;;;;;;;;;
GFF87034;2025;janv;05/01/2025;China;Honey and royal jelly;honey;Adulteration/ Product tampering, Counterfeit,  Misdescription,Mislabelling, Misbranding;Italian authorities have seized 22 tonnes of untraceable honey and 35 tonnes of questionable sugar substance in the Vicenza region. The honey, which originated from China and Vietnam, did not meet quality and food safety standards, and it is suspected that a non-biological sugar substance was used to feed the bees. The joint control operation has revealed criminal and administrative irregularities in the agri-food chain.;https://agenparl.eu/2025/01/24/gdf-vicenza-filiera-agroalimentare-sequestrate-22-tonnellate-di-miele-senza-tracciabilita-e-35-tonnellate-di-sostanza-zuccherina-contestate-irregolarita-penali-e-amministrative-nei-controlli-congi/;;;;;;;;;;;;;;;;;;
GFF87035;2025;janv;06/01/2025;Italy;live animals;livestock; Misdescription,Mislabelling, Misbranding;Italian authorities have shut down four livestock companies in the Sassari region, Sardinia, after discovering that they had untraceable livestock. The companies have been fined a total of EUR 100 000 for failing to comply with traceability and food safety regulations.;https://www.lanuovasardegna.it/sassari/cronaca/2025/01/24/news/bestiame-senza-tracciabilita-chiuse-quattro-aziende-multe-per-100mila-euro-1.100650956;;;;;;;;;;;;;;;;;;
GFF87036;2025;janv;07/01/2025;Sierra Leone;Fats and oils;Palm oil;Adulteration, Product tampering;The Sierra Leone police have seized 240 containers of palm oil, salt and chemicals that were being stored illegally. The control operation has revealed that the products did not meet quality and food safety standards.;https://sierraloaded.sl/local/police-240-containers-palm-oil-salt-chemicals/#google_vignette;;;;;;;;;;;;;;;;;;
GFF87037;2025;janv;31/01/2025;Uruguay;Poultry meat and poultry meat products;Chicken;Grey market;The police in Artigas seized a tonne of Brazilian chicken which had been smuggled into the country. The individual responsible was sentenced to prison for contraband.;https://elpueblodigital.uy/la-policia-de-artigas-incauta-mercaderia-de-contrabando-por-mas-de-500-mil-pesos/;;;;;;;;;;;;;;;;;;
GFF87038;2025;févr;01/02/2025;Pakistan;Herbs and spices;Adulterated spices;Adulteration, Product tampering;The Punjab Food Authority discarded 150 kg of adulterated spices and 50 kg of other substandard food products in a crackdown on food fraud.;https://www.urdupoint.com/en/pakistan/pfa-discards-150kg-adulterated-spices-50kg-p-1916425.html;;;;;;;;;;;;;;;;;;
GFF87039;2025;févr;02/02/2025;Colombia;Alcoholic beverages;Various illegal products;;The Colombian National Food and Drug Surveillance Institute (INVIMA) withdrew from the market over 500,000 illegal products that posed a risk to public health.;https://occidente.co/colombia/invima-retira-del-mercado-mas-de-500-000-productos-ilegales-que-representaban-un-riesgo-para-los-colombianos/;;;;;;;;;;;;;;;;;;
GFF87040;2025;févr;03/02/2025;Italy;Fish and fish products;Fish products;Grey market;The Italian Coast Guard and Financial Police seized 800 kg of fish products, which were then donated to charitable organisations in Manfredonia after being deemed unfit for sale.;https://www.immediato.net/2025/02/04/guardia-costiera-e-guardia-di-finanza-donano-800-kg-di-pesce-sequestrato-agli-enti-caritatevoli-di-manfredonia/;;;;;;;;;;;;;;;;;;
GFF87041;2025;févr;04/02/2025;Mexico;Milk and milk products;Adulterated milk;Misdescription, Mislabelling, Misbranding;Mexican authorities have seized adulterated milk in two separate incidents in León and Irapuato, resulting in the arrest of two individuals and a strengthening of health surveillance in the area.;https://periodicocorreo.com.mx/irapuato/tras-decomiso-de-leche-adulterada-refuerzan-vigilancia-en-irapuato-20250206-120509.html;;;;;;;;;;;;;;;;;;
GFF87042;2025;févr;05/02/2025;Italy;Milk and milk products;Cow's milk;Grey market;The Italian Financial Police seized 3,000 l of untraceable cow's milk in Palermo, highlighting concerns over food safety and authenticity.;https://www.ilfattonisseno.it/2025/02/sequestrati-dalla-gdf-3mila-litri-di-latte-bovino-non-tracciato-a-palermo/;;;;;;;;;;;;;;;;;;
GFF87043;2025;févr;06/02/2025;Nigeria;Nuts, nut products and seeds;Sesame seeds;Misdescription, Mislabelling, Misbranding;The Kano State Government in Nigeria has seized spoiled sesame seeds worth N180 million, cracking down on food adulteration in the state.;https://punchng.com/kano-cracks-down-on-food-adulteration-seizes-n180m-spoiled-sesame-seeds/#google_vignette;;;;;;;;;;;;;;;;;;
GFF87044;2025;févr;07/02/2025;Spain;Wine;Counterfeit Rioja wines;Adulteration, Product tampering;The Spanish Civil Guard has dismantled an international network of illegal wine trade, investigating seven individuals for selling counterfeit Rioja wines in Asia.;https://www.eldiadelarioja.es/noticia/z8b8247fe-eda9-d248-b0608fb550ed6fa4/202502/7-investigados-por-vender-en-asia-vinos-falsos-de-doca-rioja;;;;;;;;;;;;;;;;;;
GFF87045;2025;févr;08/02/2025;Bolivia;Meat and meat products (other than poultry;Various meats;Counterfeit;Bolivian authorities have seized an unspecified quantity of adulterated food products, including meat and other goods, in a crackdown on food fraud.;https://www.hoybolivia.com/Noticia.php?IdNoticia=367194;;;;;;;;;;;;;;;;;;
GFF87046;2025;févr;09/02/2025;Brazil;Fats and oils;Prohibited olive oil;Grey market;Brazilian authorities have seized over 2,000 l of prohibited olive oil in the state of Paraná, highlighting concerns over food safety and authenticity.;https://globorural.globo.com/agricultura/noticia/2025/02/mais-de-dois-mil-litros-de-azeite-proibido-no-brasil-sao-apreendidos-no-parana.ghtml;;;;;;;;;;;;;;;;;;
GFF87047;2025;févr;10/02/2025;India;Cereals and bakery products;PDS rice;Grey market;Indian authorities have seized 40 tonnes of Public Distribution System (PDS) rice from a private warehouse in Madhya Pradesh, highlighting concerns over food diversion and corruption.;https://www.deccanherald.com/india/madhya-pradesh/400-quintals-of-pds-rice-seized-from-private-warehouse-in-madhya-pradesh-3400565;;;;;;;;;;;;;;;;;;
GFF87048;2025;févr;11/02/2025;Yemen;Milk and milk products;Expired dairy products;Grey market;Yemeni authorities have seized a large quantity of expired and adulterated food products, including dairy products, in a crackdown on food fraud in the country.;https://www.saba.ye/en/news3436953.htm;;;;;;;;;;;;;;;;;;
GFF87049;2025;févr;12/02/2025;United Kingdom;Alcoholic beverages;Stolen goods;Misdescription, Mislabelling, Misbranding;A raid on a premises in Worthing has led to the discovery of stolen goods, including food and drink, and the arrest of four individuals, highlighting concerns over food theft and illicit goods distribution.;https://www.theargus.co.uk/news/24932243.stolen-goods-raid-worthing-leads-four-arrests/?ref=rss;;;;;;;;;;;;;;;;;;
GFF87050;2025;févr;13/02/2025;Romania;Alcoholic beverages;Illicit alcohol;Grey market;A cigarette and alcohol smuggling ring has been dismantled by the police, resulting in the confiscation of 40,000 cigarettes and an unspecified quantity of alcohol.;https://zch.ro/retea-de-contrabanda-cu-tigari-si-alcool-destructurata-de-politie-40-000-de-tigarete-confiscate/#google_vignette;;;;;;;;;;;;;;;;;;
GFF87051;2025;févr;14/02/2025;Italy;Fats and oils;Olive oil;Grey market;Italian authorities have seized 5,300 l of olive oil and alcoholic beverages at the port of Ancona, suspected to be of Albanian origin.;https://www.cronacheancona.it/2025/02/14/sequestrati-al-porto-5-300-litri-tra-olio-di-oliva-e-alcolici-dallalbania/539355/;;;;;;;;;;;;;;;;;;
GFF87052;2025;févr;15/02/2025;United States;Fish and fish products;Illegal fish and sharks;Grey market;The US Coast Guard has detained 11 Mexican fishermen and seized 725 kg of illegal fish and 9 sharks off the coast of Texas, highlighting concerns over fisheries crime and food safety.;https://www.hstoday.us/subject-matter-areas/maritime-security/coast-guard-detains-11-mexican-fishermen-seizes-1595-pounds-of-illegal-fish-and-9-sharks-off-texas-coast/;;;;;;;;;;;;;;;;;;
GFF87053;2025;févr;16/02/2025;United Kingdom;Meat and meat products (other than poultry;Olive oil;Grey market;Northern Irish authorities have seized 600 kg of illegal meat, sparking concerns about food safety and potential health risks to consumers.;https://www.farminguk.com/news/concern-raised-after-600kg-of-illegal-meat-seized-in-ni_66139.html;;;;;;;;;;;;;;;;;;
GFF87054;2025;févr;17/02/2025;Tunisia;Fats and oils;Adulterated liquor;Counterfeit;Authorities in Tunisia have uncovered a significant case of olive oil fraud, highlighting concerns over the authenticity and quality of olive oil in the country.;https://www.teatronaturale.it/tracce/mondo/44393-le-frodi-sull-olio-di-oliva-in-tunisia.htm;;;;;;;;;;;;;;;;;;
GFF87055;2025;févr;18/02/2025;Colombia;Alcoholic beverages;Counterfeit olive oil;Document forgery;Authorities in Candelaria, Valle del Cauca, Colombia, have seized a significant quantity of adulterated liquor, equivalent to approximately 2,600 bottles.;https://www.elpais.com.co/valle/incautan-en-candelaria-licor-adulterado-equivalente-a-2600-botellas-1945.html;;;;;;;;;;;;;;;;;;
GFF87056;2025;févr;19/02/2025;Brazil;Fats and oils;Frozen meat and poultry;Grey market;Brazilian authorities have seized over 40 tonnes of counterfeit olive oil, equivalent to approximately 10,800 l, in São Paulo, and four individuals have been arrested in connection with the case.;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/02/20/mais-de-40-toneladas-de-azeite-falso-sao-apreendidas-em-sp-4-sao-presos.htm;;;;;;;;;;;;;;;;;;
GFF87057;2025;févr;20/02/2025;China;Fish and fish products;fish;Counterfeit, Misdescription, Mislabelling, Misbranding;The Hong Kong authorities have seized a quantity of adulterated food products, including frozen meat and poultry, from a local food establishment, highlighting concerns over food safety and authenticity.;https://www.info.gov.hk/gia/general/202502/21/P2025022100457.htm;;;;;;;;;;;;;;;;;;
GFF87058;2025;févr;21/02/2025;Dominican Republic;Cocoa and cocoa preparations, coffee and tea;Smuggled cocoa;Grey market;The Dominican authorities have seized 8,500 kg of smuggled cocoa, highlighting concerns over food safety and illicit trade.;https://www.elcaribe.com.do/panorama/pais/agricultura-y-cesfront-se-incautan-85-quintales-de-cacao-de-contrabando/;;;;;;;;;;;;;;;;;;
GFF87059;2025;févr;22/02/2025;Ghana;Cocoa and cocoa preparations, coffee and tea;Smuggled cocoa;Grey market;Ghanaian authorities have seized a significant quantity of smuggled cocoa, highlighting concerns over food safety and illicit trade.;https://fr.apanews.net/not-to-be-missed/ghana-saisie-dune-importante-quantite-de-cacao-de-contrebande/;;;;;;;;;;;;;;;;;;
GFF87060;2025;févr;23/02/2025;Italy;Fish and fish products;Fish;Grey market;The Italian Coast Guard has seized a quantity of fish in Palermo, specifically in the Porticello area, highlighting concerns over food safety and illicit trade.;https://www.palermotoday.it/cronaca/guardia-costiera-sequestro-pesce-palermo-porticello.html;;;;;;;;;;;;;;;;;;
GFF87061;2025;févr;24/02/2025;Spain;Other food products/ mixed;Illicit meat;Misdescription, Mislabelling, Misbranding;Spanish authorities have discovered a hidden storage room in a mobile phone shop in Madrid, containing 25 tonnes of illicit meat, including Kobe beef, and hazardous sauces, highlighting concerns over food safety and authenticity.;https://www.eldebate.com/espana/madrid/20250227/encuentran-25-toneladas-carne-kobe-salsas-peligrosas-tienda-moviles-madrid_274245.html;;;;;;;;;;;;;;;;;;
GFF87062;2025;févr;25/02/2025;Cuba;Herbs and spices;Illicit coffee;Misdescription, Mislabelling, Misbranding;Cuban authorities have discovered a clandestine coffee factory in Havana, highlighting concerns over food safety and authenticity.;https://www.cibercuba.com/noticias/2025-02-27-u1-e129488-s27061-nid297911-descubren-fabrica-clandestina-cafe-habana;;;;;;;;;;;;;;;;;;
GFF87063;2024;nov;01/11/2024;Belgium;Other food products/ mixed;Curry Thaï;Grey market;"A case of food fraud has been reported in Belgium, where the Carrefour The Market brand of
""Curry Thaï"" noodles was found to have incorrect labelling. The product's label did not indicate
the presence of wheat and crustaceans, which are allergens that can pose a risk to consumers
with allergies, a type of food fraud that can have serious consequences for consumer health.
";https://www.lalibre.be/dernieres-depeches/2024/11/05/rappel-de-nouilles-curry-thai-en-raison-dune-erreur-detiquetage-264CSOK7A5FINP4L3VHL4NSODM/;;;;;;;;;;;;;;;;;;
GFF87064;2024;nov;02/11/2024;Brazil;Cereals and bakery products;rice;Misdescription,Mislabelling, Misbranding;"The Brazilian government has taken action to confiscate the adulterated rice, which weighed
10 500 kg, and is likely to take further measures to prevent similar incidents in the future. The
incident involved the substitution of inferior quality rice with a label indicating that it was of a
superior type.";https://g1.globo.com/economia/agronegocios/noticia/2024/11/06/fraude-do-arroz-governo-confisca-10500-kg-vendidos-como-se-fossem-do-tipo-superior-conheca-diferencas.ghtml;;;;;;;;;;;;;;;;;;
GFF87065;2024;nov;03/11/2024;India;Fish and fish products;seafood;Document forgery;"A significant quantity of seafood has been seized in Italy due to illegal importation from
Senegal and Indi. The seizure, which weighed 70 tonnes, highlights the issue of grey market
activities in the seafood industry, where products are imported and sold without proper
documentation or compliance with regulatory requirements";https://www.lanazione.it/cronaca/prodotti-ittici-sequestrati-110305be?live;;;;;;;;;;;;;;;;;;
